,magnitude,angle,env_x,env_y,env_z,env_rot_x,env_rot_y,env_rot_z,env_rot_w,dx,dy,dz,d_rot_x,d_rot_y,d_rot_z,d_rot_w,robot_in_map
2942,794.4605702703813,13,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-8.626118976030893e-06,0.2988901941489116,-4.95908399827244e-06,3.341384056333426e-07,-4.960365500450333e-05,1.7259169752793177e-05,-1.4781420532017364e-09,True
2943,896.3297938195172,57,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.2690785297742618,7.432251052207278,-2.7759152541606547e-06,0.12008892031019024,0.6968419567729129,0.1200561747045638,-1.6968321733637253,False
2944,653.6323894441698,66,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.18074938273382726,3.204957590640065,-1.1242504892663985e-06,0.0008437034398419732,0.9999996441391912,-5.782834703963505e-06,-0.9999887534350408,False
2945,525.6678618893197,85,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.10044487938588892,0.45561892586148,0.2999956746890943,0.0001852228213824635,0.707107023940461,-0.00025073857656450667,-0.2928935281370879,True
2946,320.36649084009974,88,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.00010884942110331452,0.07172792847608572,-5.57061160685185e-06,-3.609350735079237e-05,-1.9575137063555694e-05,2.5349251187789153e-05,-1.3094761941445654e-09,True
2947,797.6278753789228,55,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.1646162842263788,6.049350800076832,-7.187340681488741e-06,-0.019672595283845348,0.9998064755604102,2.0213434856698378e-05,-0.9999988497171811,False
2948,811.3282281981133,76,1.963152432605274e-06,0.25000359683699647,0.049994429418686606,-3.6093966131393835e-05,1.9573945198388075e-05,5.7294637630408345e-06,0.9999999991406299,9.4661349544485e-05,3.1295001080283207,5.570981296991462e-06,3.606160245301928e-05,-1.9520484394162225e-05,-0.000206716592021669,-1.9338544876568164e-08,False
2949,484.8644369960963,43,-4.0183641339655474e-07,0.24999792774571286,0.04999834300917018,2.059867168662343e-05,-4.0787381585169494e-06,5.728943356281567e-06,0.999999999763119,0.00045451402342958,0.23288636642746377,1.6569859336637571e-06,0.7070791878104057,-0.0031410691239819755,0.0031394189195177126,-1.7070997862479018,True
2950,246.45211321780835,29,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-7.210911580989953e-07,0.29885005162788636,-3.8958634929198155e-11,-2.852038598869274e-10,1.1997358660001155e-10,-5.7335106615158116e-06,1.641109470540414e-11,True
2951,67.95922868104702,19,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.0005467870130314168,0.03326022601180029,-2.5362763444586323e-06,-2.595686092520879e-05,6.013938418694249e-07,0.005471268400762459,-1.499918386471677e-05,True
2952,841.3655271983114,38,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,0.0012389245519647822,0.16208831694499792,-3.099497518262162e-06,-0.7070846528467643,0.0004431336608812586,-0.00045053185428663655,-0.29287136961117965,True
2953,821.9751912624414,13,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-8.244596340342609e-07,0.2988902337277213,-3.8958634929198155e-11,-2.81383927253494e-10,1.1997358638223521e-10,-5.843658982441871e-06,1.6404655411861313e-11,True
2954,688.1819239410657,32,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-2.4081833088975316e-05,0.2977709583032191,-1.657024958114095e-06,2.0598412387939394e-05,4.078771738030945e-06,-1.5924890470036878e-05,-2.560369694037945e-10,True
2955,316.0527009743396,56,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-6.225790927974159e-05,0.5486339574771056,0.2999923483080008,-0.6946481679329601,0.13221906618854606,0.132208142795016,-1.6946233035311105,True
2956,287.07745911973984,89,-4.0183641339655474e-07,0.24999792774571286,0.04999834300917018,2.059867168662343e-05,-4.0787381585169494e-06,5.728943356281567e-06,0.999999999763119,-9.17140478888367e-05,0.02874137602616164,-3.913585569115252e-06,1.5494326850214325e-05,2.3654394515216662e-05,3.6535044638014e-05,-1.4991966557076353e-09,True
2957,251.16714792301218,23,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,9.65608789470546e-06,0.2991240422839634,-5.570617593590732e-06,-3.609468605984492e-05,1.9573293450103105e-05,2.1658950622120198e-05,-1.2015985983993005e-09,True
2958,342.7238545145432,17,-4.0183641339655474e-07,0.24999792774571286,0.04999834300917018,2.059867168662343e-05,-4.0787381585169494e-06,5.728943356281567e-06,0.999999999763119,2.0756815447939226e-06,0.2990321955230215,1.6571118612793145e-06,-2.0583086176078852e-05,4.050724161068795e-06,1.9202989279460095e-05,-7.39202032917774e-11,True
2959,325.6541219584814,46,6.0153531366216776e-09,0.24999998763876063,0.05000000003406251,2.832938934794629e-10,-1.2048455418072804e-10,5.7290860331050105e-06,0.9999999999835889,-5.093462189428759e-07,0.2978879860772452,-3.8958634929198155e-11,-2.852038568915179e-10,1.1997358302553344e-10,-3.7173424333433766e-06,1.4387491198419866e-11,True
